
game 0 
gen, best, mean, std, median, q1, q3, life
0, 69.958269, 0.64433, 15.297, -6.061773, 3.056018, -6.210475, 11.4959
1, 73.540255, 17.44188, 22.083414, 16.027831, 27.841625, -1.37408, 17.46182
2, 86.366701, 37.287725, 25.410268, 33.289314, 55.325595, 20.632266, 22.893182
3, 87.077923, 46.369595, 33.489045, 55.928577, 73.540255, 13.283946, 29.529492
4, 87.085153, 57.888444, 31.893303, 75.130915, 86.009202, 21.066033, 30.163094
5, 87.199265, 67.161262, 29.180316, 86.252614, 86.887035, 41.069626, 30.751503
6, 87.299129, 71.97596, 23.6462, 86.443651, 86.88811, 67.72625, 31.700242
7, 87.299129, 77.938752, 15.989376, 86.792004, 87.001301, 71.726326, 31.700242
8, 87.437096, 79.11565, 17.787022, 86.815069, 87.156306, 86.617931, 32.815795
9, 87.437096, 72.694782, 22.375593, 86.727522, 87.195548, 64.580995, 32.815795
10, 87.665093, 82.955204, 11.456636, 87.007004, 87.263214, 86.401661, 34.786589
11, 89.06496, 81.135803, 15.030399, 87.067636, 87.412191, 86.670175, 47.537454
12, 89.457833, 82.452755, 11.22509, 87.109324, 87.343114, 86.035456, 51.376389
13, 89.837236, 78.30088, 18.26585, 86.947199, 87.732854, 85.765833, 53.942761
14, 89.837236, 76.997433, 22.547379, 87.108022, 89.074264, 77.526782, 54.160303
15, 89.837236, 67.846063, 31.305771, 88.482908, 89.447687, 34.482656, 54.160303
game 1 
gen, best, mean, std, median, q1, q3, life
0, 27.374377, -3.384951, 7.881067, -6.134213, -6.024541, -6.34943, 11.620601
1, 44.09533, 8.4626, 14.266256, 8.77503, 19.081899, -6.075046, 12.095952
2, 69.886939, 18.790198, 19.664196, 19.101357, 27.374377, 3.136662, 12.095952
3, 77.120859, 29.568215, 23.504615, 26.832046, 46.230469, 10.697912, 16.47079
4, 85.807235, 25.675661, 28.399751, 19.868279, 46.27698, 2.282672, 19.193777
5, 85.807235, 43.854919, 31.181711, 49.133703, 75.100886, 12.203368, 19.193777
6, 88.43866, 39.693437, 35.649599, 30.72212, 77.187563, 5.45815, 42.420909
7, 88.646289, 43.481198, 34.999583, 47.947149, 76.859568, 7.292844, 43.355644
8, 88.646289, 54.94169, 32.002183, 62.937244, 86.085134, 25.458632, 43.355644
9, 88.646289, 68.980401, 28.602769, 86.265766, 87.631558, 50.575917, 45.833556
10, 88.646289, 66.035047, 31.851241, 86.88912, 88.452705, 43.457057, 45.833556
11, 88.969282, 66.608896, 31.294803, 87.089341, 88.555597, 45.279491, 47.387398
12, 89.229567, 72.870333, 26.522808, 88.490827, 88.62385, 64.864217, 50.122347
13, 89.229567, 79.532946, 18.84309, 88.240979, 88.646289, 85.583157, 50.122347
14, 89.229567, 72.709962, 26.523788, 88.306229, 88.986788, 57.83992, 50.122347
15, 89.229567, 70.697276, 25.332259, 87.5077, 88.91682, 50.282189, 50.122347
game 2 
gen, best, mean, std, median, q1, q3, life
0, 20.667558, -2.605414, 7.039121, -6.138542, -4.838999, -6.263096, 12.209016
1, 25.159319, 6.31043, 10.058866, 5.508827, 15.894631, -5.795842, 12.319808
2, 26.019299, 13.35334, 10.062294, 19.08688, 20.667558, 7.883884, 17.373378
3, 63.586116, 17.923941, 15.598076, 20.638252, 25.159319, 6.007864, 17.614947
4, 63.586116, 20.518659, 19.424541, 19.178048, 32.685099, 5.89685, 17.614947
5, 87.286504, 36.379382, 20.603341, 32.958166, 53.69769, 20.686189, 31.230808
6, 87.286504, 50.338225, 27.71071, 49.373679, 68.36112, 23.411703, 31.230808
7, 87.286504, 67.638028, 26.314842, 86.744213, 87.114893, 51.367672, 31.230808
8, 87.286504, 76.90694, 17.677133, 86.877729, 87.200808, 63.616181, 31.230808
9, 87.286504, 73.468175, 22.285398, 87.00865, 87.194106, 63.585419, 31.230808
10, 87.286504, 81.047486, 13.035405, 87.11216, 87.215737, 86.884226, 31.230808
11, 87.286504, 77.688108, 17.471642, 87.046798, 87.17716, 65.295701, 31.230808
12, 87.286504, 77.708421, 20.560873, 87.165371, 87.286504, 86.975855, 31.230808
13, 87.314241, 76.492003, 20.518405, 87.121424, 87.219642, 74.751405, 32.059579
14, 87.314241, 77.851862, 17.948714, 87.020279, 87.183406, 74.022838, 32.059579
15, 87.314241, 74.722613, 23.042963, 87.012369, 87.222865, 74.595745, 32.059579
game 3 
gen, best, mean, std, median, q1, q3, life
0, 89.138417, -0.266707, 16.77846, -6.096718, -5.933249, -6.375896, 49.317691
1, 89.138417, 10.935899, 18.52216, 5.591437, 18.044311, -5.160262, 49.317691
2, 89.138417, 27.202379, 22.101629, 27.004031, 33.915086, 10.085798, 49.317691
3, 89.138417, 41.241293, 18.610394, 36.863998, 55.39112, 26.326256, 49.317691
4, 89.138417, 45.324, 26.891992, 51.77456, 69.957064, 20.319567, 49.317691
5, 89.138417, 54.063779, 30.31398, 56.513124, 85.985662, 25.421952, 49.317691
6, 89.383253, 58.703128, 32.610427, 74.191214, 89.036621, 25.475656, 51.784031
7, 89.383253, 69.29552, 29.388559, 88.288786, 89.133957, 52.791949, 51.784031
8, 90.380821, 74.933714, 23.617832, 88.976086, 89.295018, 70.83482, 61.004404
9, 90.534116, 62.260047, 37.008478, 89.079045, 89.43159, 21.350119, 62.970989
10, 90.534116, 66.895566, 32.594431, 89.332568, 89.551494, 20.668334, 62.970989
11, 90.548988, 62.457928, 37.720261, 89.45026, 90.214977, 20.667336, 62.970989
12, 90.673998, 75.738667, 28.667321, 89.837482, 90.475006, 80.071637, 63.728466
13, 90.673998, 65.613207, 35.763931, 89.891754, 90.430665, 20.698572, 64.094704
14, 90.673998, 69.109952, 33.725299, 90.088748, 90.548988, 36.695918, 64.094704
15, 90.699611, 63.463137, 35.934408, 89.845862, 90.435182, 20.639567, 64.409027
game 4 
gen, best, mean, std, median, q1, q3, life
0, 20.637823, -2.374369, 7.596425, -6.079181, 3.313167, -6.345524, 11.862932
1, 70.899634, 9.063942, 14.187893, 5.930952, 19.304052, -4.433225, 12.53465
2, 86.797843, 23.200547, 21.161716, 20.632028, 27.672317, 7.036002, 26.987041
3, 86.797843, 40.125613, 26.019392, 30.583582, 70.864259, 20.563431, 26.987041
4, 86.909198, 69.989058, 19.55924, 70.866088, 86.77762, 63.623024, 28.153146
