
game 0 
gen, best, mean, std, median, q1, q3, life
9, 87.152892, 79.878325, 9.169932, 86.914844, 87.151705, 66.634024, 25.0
10, 87.152892, 79.598724, 9.136357, 86.852892, 87.152892, 66.638708, 25.0
11, 87.152892, 79.25744, 9.503217, 86.854844, 87.152892, 66.507885, 25.0
12, 87.152892, 77.255435, 10.054991, 81.146498, 87.152892, 66.264235, 25.0
13, 87.152892, 80.76673, 8.992064, 87.148142, 87.152892, 68.772531, 25.0
14, 88.819688, 78.790895, 9.397004, 86.792892, 87.151705, 66.634024, 45.4
15, 88.819688, 81.149008, 8.379689, 87.120517, 87.152892, 75.585013, 45.4
game 5 
gen, best, mean, std, median, q1, q3, life
0, 66.16227, -1.491578, 13.41774, -5.743003, -4.747253, -5.777652, 0.0
1, 66.588354, 15.379735, 25.33699, 3.721885, 12.048079, -2.70805, 0.0
2, 66.588354, 48.578784, 21.498607, 57.036421, 57.174, 57.036421, 0.0
3, 74.957367, 47.290083, 26.032183, 57.036421, 66.174, 18.982199, 0.0
4, 74.957367, 60.847272, 14.042175, 66.174, 66.301856, 57.568823, 0.0
5, 75.182889, 47.164936, 28.803061, 66.174, 66.588354, 4.152577, 0.0
6, 75.182889, 50.519385, 27.486862, 66.174, 66.601837, 33.470254, 0.0
7, 75.570654, 63.306798, 18.839868, 66.452387, 74.957367, 66.069813, 0.0
8, 86.431965, 67.436117, 11.015237, 66.565354, 74.957367, 66.016073, 23.8
9, 86.431965, 68.326738, 7.842592, 66.515203, 75.182889, 66.174, 23.8
10, 86.431965, 71.407939, 6.961364, 75.076102, 75.570654, 66.182889, 23.8
11, 86.431965, 71.577373, 10.159707, 70.901681, 75.570654, 66.18066, 23.8
12, 86.431965, 73.099097, 14.448065, 70.78745, 86.431965, 66.175479, 23.8
13, 86.431965, 79.651885, 9.369216, 86.431965, 86.431965, 66.39746, 23.8
14, 86.431965, 80.312865, 8.275109, 86.431965, 86.431965, 74.963925, 23.8
15, 86.431965, 74.591485, 21.747294, 86.431965, 86.431965, 68.37163, 23.8
game 6 
gen, best, mean, std, median, q1, q3, life
0, 66.174, 0.602841, 15.365384, -5.750973, 1.365505, -5.777652, 0.0
1, 66.179917, 20.371358, 28.449242, 3.697005, 56.994881, -5.278115, 0.0
2, 75.033853, 62.189864, 11.379689, 66.174, 66.174, 66.038356, 0.0
3, 75.033853, 66.025673, 2.117392, 66.174, 66.179917, 66.174, 0.0
4, 75.588354, 53.920035, 25.375684, 66.174, 66.279688, 59.70074, 0.0
5, 75.588354, 58.455526, 22.498871, 66.284652, 66.634024, 66.189629, 0.0
6, 75.588354, 59.196876, 22.332186, 66.56043, 66.634024, 66.169588, 0.0
7, 75.588354, 60.367133, 23.887643, 66.634024, 75.30712, 66.185226, 0.0
8, 84.536168, 71.319583, 4.826319, 75.25266, 75.558681, 66.541983, 0.0
9, 84.536168, 70.255333, 10.789649, 75.217725, 75.556502, 66.586192, 0.0
10, 84.536168, 66.148221, 19.26034, 75.289578, 75.5839, 66.540524, 0.0
11, 85.352828, 67.654572, 19.846615, 75.44474, 75.592828, 66.612072, 7.6
12, 85.352828, 72.463715, 7.609306, 66.613238, 75.592828, 66.547905, 7.6
13, 85.352828, 72.091064, 8.677136, 66.620113, 75.592828, 66.491663, 7.6
14, 85.352828, 73.903868, 9.183558, 75.559751, 84.536168, 66.477553, 7.6
15, 85.352828, 68.009664, 21.471643, 66.604105, 84.536168, 66.313182, 7.6
game 7 
gen, best, mean, std, median, q1, q3, life
0, 75.296218, 7.871368, 26.585907, -5.731657, 3.23267, -5.777652, 0.0
1, 75.296218, 35.055527, 33.237429, 52.522562, 66.180667, -1.262769, 0.0
2, 75.296218, 54.267286, 28.381035, 66.174, 75.256997, 57.036421, 0.0
3, 75.474547, 59.586747, 23.709994, 70.890267, 75.296218, 57.036421, 0.0
4, 75.474547, 63.74713, 21.216406, 75.296218, 75.296218, 56.991187, 0.4
5, 75.474547, 56.21325, 24.846089, 56.991187, 75.428873, 56.991187, 0.4
