

game 0 
gen, best, mean, std, median, q1, q3, life
5, 87.236658, 80.35071, 13.904523, 86.947911, 87.110605, 86.696774, 31.627488
6, 87.268926, 80.944567, 13.577421, 87.004839, 87.163303, 86.625214, 31.627488
7, 87.268926, 79.249696, 15.659495, 86.914058, 87.147444, 86.483766, 31.627488
8, 87.268926, 81.241839, 11.09468, 86.921821, 87.176863, 86.571785, 31.627488
9, 87.285252, 76.676829, 18.605353, 86.975908, 87.163826, 69.074577, 31.627488
10, 87.285252, 79.487066, 18.560179, 87.07184, 87.235305, 86.743247, 31.627488
11, 87.310661, 82.529748, 11.856642, 87.059137, 87.268926, 86.775481, 31.67989
12, 87.310661, 74.205993, 20.228201, 87.049895, 87.268802, 62.625863, 31.67989
13, 87.310661, 78.147468, 18.53911, 87.095444, 87.245415, 85.637987, 31.67989
14, 87.310661, 80.130092, 11.599219, 86.911987, 87.212908, 69.93144, 31.67989
15, 87.310661, 75.647485, 20.571945, 86.917356, 87.25562, 71.485892, 31.67989
game 5 
gen, best, mean, std, median, q1, q3, life
0, 40.085996, -0.494958, 11.633435, -6.031677, -1.809772, -6.232984, 12.209016
1, 86.112407, 12.922477, 16.62506, 10.655468, 19.121297, 3.227908, 21.190092
2, 86.946218, 27.57487, 21.176499, 20.656121, 38.365103, 16.451399, 30.042562
3, 88.750956, 44.042417, 23.639055, 36.868964, 40.619187, 30.953702, 44.749112
4, 89.619855, 54.339062, 30.217386, 41.199033, 86.946218, 24.699089, 47.744727
5, 89.773047, 70.963418, 25.04722, 86.812908, 87.112332, 51.316736, 54.230813
6, 89.773047, 66.005271, 29.877399, 86.873842, 87.98914, 27.952495, 54.230813
7, 90.688243, 70.357246, 25.723514, 87.144765, 89.227965, 41.31344, 62.961938
8, 90.688243, 72.734388, 25.163064, 87.788735, 89.184034, 50.130281, 62.961938
9, 90.848005, 79.196996, 19.868865, 89.047697, 89.762932, 86.888616, 64.578533
10, 90.848005, 76.485035, 21.711981, 88.458943, 89.773047, 69.299036, 64.578533
11, 90.848005, 69.58003, 25.058414, 87.724437, 90.569642, 43.471934, 64.578533
12, 91.006216, 73.351291, 21.82277, 88.290305, 90.675397, 62.503045, 65.497157
13, 91.16207, 74.325062, 19.111119, 88.25168, 90.848005, 62.696429, 66.590693
14, 91.16207, 75.892157, 21.561795, 89.262756, 90.903076, 63.196803, 66.590693
15, 91.206116, 64.338077, 27.046553, 74.64018, 90.980625, 41.315163, 66.590693
game 6 
gen, best, mean, std, median, q1, q3, life
0, 41.140815, -2.992793, 8.690042, -6.196459, -5.50099, -6.376136, 11.980597
1, 86.497257, 12.487892, 19.261033, 5.65604, 20.648749, -0.258219, 22.704317
2, 86.71769, 39.684114, 22.290244, 33.719913, 52.580796, 20.676392, 25.967175
3, 87.234112, 59.512969, 26.886278, 63.546434, 86.516441, 32.903425, 30.641966
4, 87.261586, 68.339564, 25.285829, 86.508476, 86.90894, 46.051424, 30.79495
5, 87.329702, 73.187881, 25.054525, 86.843243, 87.193557, 79.31076, 31.601005
6, 87.329702, 69.476173, 28.434497, 86.875939, 87.210782, 42.53722, 31.601005
7, 87.329702, 72.018622, 27.223891, 86.789132, 87.184019, 86.284386, 31.601005
8, 87.329702, 67.454469, 28.679942, 86.818008, 87.171789, 34.876874, 31.601005
9, 87.329702, 67.940788, 28.03354, 87.029425, 87.249152, 34.733308, 31.601005
10, 87.329702, 72.269083, 25.333919, 87.103607, 87.260634, 62.753011, 31.601005
11, 87.329702, 80.486267, 19.238157, 87.092501, 87.326464, 86.730087, 31.601005
12, 87.329702, 80.871523, 17.913826, 87.111186, 87.329702, 86.990374, 31.601005
13, 87.329702, 75.340226, 22.993092, 87.103584, 87.261795, 86.472862, 31.601005
14, 87.329702, 75.760781, 23.553398, 86.992269, 87.200098, 86.630843, 31.601005
15, 87.329702, 79.247253, 19.472324, 87.007776, 87.18509, 86.709892, 31.601005
game 7 
gen, best, mean, std, median, q1, q3, life
0, 32.948895, -0.347994, 9.899619, -6.046398, 4.496004, -6.222404, 5.104406
1, 70.320518, 15.795495, 13.748137, 18.55392, 20.736231, 5.482924, 31.663607
2, 86.148407, 25.996416, 17.421861, 24.026447, 33.408344, 16.853105, 31.663607
3, 87.013997, 36.847221, 24.027459, 33.207405, 42.102302, 19.250312, 31.663607
4, 88.935045, 39.822442, 30.196088, 31.791561, 68.891019, 18.666858, 47.300943
5, 88.976594, 49.513231, 31.74106, 29.914318, 86.829436, 20.655048, 47.300943
6, 88.976594, 61.436472, 28.648008, 85.569107, 87.000073, 32.903923, 47.300943
7, 89.017561, 69.227603, 26.1054, 86.493981, 87.090362, 50.290191, 47.300943
8, 89.325732, 64.11998, 27.838732, 85.877998, 88.953265, 32.996475, 49.511657
9, 89.325732, 68.473723, 26.757782, 86.968097, 88.95537, 39.33452, 49.511657
10, 89.325732, 75.830621, 21.257712, 87.462296, 89.124208, 64.456882, 49.557485
11, 89.325732, 69.479697, 24.934892, 86.516009, 89.140472, 50.265196, 49.557485
12, 89.351345, 83.075958, 11.277037, 89.070092, 89.300935, 86.17755, 49.557485
13, 89.356161, 77.359652, 18.279071, 89.063422, 89.300935, 67.539816, 49.985324
14, 89.371859, 84.945277, 11.248914, 89.205088, 89.325112, 88.534761, 50.350291
15, 89.48964, 83.088066, 13.410102, 89.137016, 89.343503, 88.047965, 51.004078
game 8 
gen, best, mean, std, median, q1, q3, life
0, 20.636172, -2.712628, 7.330643, -6.073889, -4.581871, -6.289765, 11.620601
1, 76.741684, 9.02115, 17.24548, 5.543364, 15.962222, -6.015439, 12.850074
2, 86.603602, 25.265397, 19.904971, 20.651909, 32.931713, 10.906481, 25.013047
3, 87.280925, 41.204856, 22.105091, 33.423602, 63.506674, 20.662847, 31.67989
4, 87.280925, 47.917615, 24.222389, 63.462432, 63.570545, 26.150373, 31.67989
5, 87.280925, 47.188634, 26.550493, 40.318278, 63.576826, 20.656613, 31.67989
6, 87.280925, 60.48769, 26.531466, 63.578918, 86.784771, 32.961433, 31.67989
