
game 0 
gen, best, mean, std, median, q1, q3, life
0, 57.036421, -0.588387, 14.9002, -5.743003, -5.240296, -5.777652, 0.0
1, 86.335744, 23.797025, 27.694832, 3.721885, 57.036421, 3.545701, 22.6
2, 86.335744, 53.142624, 18.442644, 57.036421, 57.036421, 57.036421, 22.6
3, 86.335744, 57.862601, 17.746065, 57.041579, 66.174, 57.036421, 22.6
4, 86.335744, 58.952754, 26.00957, 66.238265, 75.375969, 57.036421, 22.6
5, 86.335744, 67.904119, 28.580796, 79.94226, 86.335744, 66.532048, 22.6
6, 86.737949, 53.608754, 37.90541, 75.195028, 86.335744, 3.610928, 25.0
7, 86.917949, 66.517872, 31.067512, 86.026846, 86.335744, 66.202709, 26.8
8, 88.923246, 68.761825, 31.45336, 86.335744, 86.335744, 66.613222, 46.0
9, 88.923246, 59.734116, 38.740675, 86.335744, 86.917949, 3.610928, 46.0
10, 88.923246, 68.696997, 33.879381, 86.917949, 88.879688, 71.118442, 46.0
11, 88.923246, 60.577256, 37.305214, 88.519688, 88.923246, 5.849766, 46.0
12, 88.923246, 67.189396, 35.238234, 88.923246, 88.923246, 66.495813, 46.0
13, 88.923246, 66.428583, 32.804555, 88.923246, 88.923246, 50.423264, 46.0
14, 88.923246, 66.578557, 35.243661, 88.923246, 88.923246, 50.360794, 46.0
15, 88.923246, 63.449741, 36.302289, 88.923246, 88.923246, 14.829494, 46.0
game 1 
gen, best, mean, std, median, q1, q3, life
0, 66.174, 2.237038, 19.355625, -5.754157, -2.70805, -5.777652, 0.0
1, 75.051965, 24.670382, 31.170062, 3.701883, 57.036421, -5.465613, 0.0
2, 75.051965, 54.106989, 20.121043, 57.049371, 66.174, 57.036421, 0.0
3, 75.588354, 60.954966, 16.744133, 66.174, 66.174, 66.007345, 0.0
4, 75.620103, 61.320525, 21.279624, 66.174, 75.051965, 59.433583, 0.0
5, 86.688859, 66.852739, 16.031762, 75.031374, 75.441636, 66.168118, 25.0
6, 86.688859, 70.525118, 13.787438, 75.5533, 75.620103, 66.174, 25.0
7, 89.028788, 72.297414, 16.41962, 75.620103, 75.630544, 68.726118, 46.6
8, 89.028788, 65.250341, 26.85773, 75.112659, 85.810119, 66.081003, 46.6
