
game 0 
gen, best, mean, std, median, q1, q3, life
0, 57.21004, 2.722618, 14.401085, -5.247024, 3.752976, -5.252273, 56.0
1, 57.21004, 5.55958, 18.24832, -5.247024, 10.376169, -5.252273, 56.0
2, 75.588354, 11.854558, 23.491584, 3.141557, 19.399006, -5.252273, 56.0
3, 75.588354, 13.642612, 25.241739, 3.16128, 19.174808, -5.247024, 56.0
4, 75.588354, 16.711682, 26.501376, 3.752976, 52.718173, -5.247024, 56.0
5, 75.588354, 20.449426, 27.72722, 7.827451, 57.16227, -5.247024, 56.0
6, 75.588354, 24.917117, 27.328937, 17.26912, 57.16227, -5.209486, 56.0
7, 75.588354, 28.516614, 27.172725, 21.752976, 57.16227, 3.752976, 56.0
8, 75.588354, 28.144175, 25.609808, 21.534698, 57.16227, 3.752976, 56.0
9, 75.588354, 28.841764, 25.363381, 21.750351, 57.16227, 3.73735, 56.0
10, 75.588354, 37.508152, 24.274594, 57.112509, 57.5246, 12.790514, 56.0
11, 75.588354, 40.340646, 23.637879, 57.16227, 57.601837, 15.031129, 56.0
12, 75.588354, 42.668892, 22.779759, 57.16227, 57.732142, 21.601837, 56.0
13, 75.588354, 42.147902, 21.487421, 56.88267, 57.5213, 21.752976, 56.0
14, 75.588354, 43.734349, 20.027839, 57.16227, 57.272418, 21.752976, 56.0
15, 75.588354, 46.45121, 19.97319, 57.16227, 57.505422, 21.752976, 56.0
game 1 
gen, best, mean, std, median, q1, q3, life
0, 57.732142, 3.729374, 14.820378, -5.247024, 12.407411, -5.252273, 0.0
1, 57.732142, 5.252495, 16.717504, -5.247024, 12.711254, -5.252273, 0.0
2, 57.732142, 11.370045, 20.318088, 3.752976, 21.647262, -5.247024, 0.0
3, 57.732142, 14.789012, 24.440301, 3.526266, 21.752976, -5.247024, 0.0
4, 57.732142, 16.253725, 24.964111, 7.827451, 28.502976, -5.247024, 0.0
5, 57.732142, 13.189892, 23.491202, 3.752976, 19.51236, -5.247024, 0.0
6, 57.732142, 16.452871, 24.896687, 3.752976, 37.460667, -5.247024, 0.0
7, 57.732142, 16.083161, 26.558316, 3.752976, 57.16227, -5.247024, 0.0
8, 57.732142, 26.509208, 27.541719, 21.727329, 57.732142, -3.124439, 0.0
9, 57.732142, 25.97563, 26.839467, 17.271745, 57.699566, 3.714506, 0.0
10, 57.732142, 31.530149, 25.865616, 21.771745, 57.699566, 3.752976, 0.0
11, 57.732142, 31.878322, 25.722706, 30.677407, 57.732142, 3.76236, 0.0
12, 57.732142, 30.476204, 26.119992, 21.790514, 57.732142, 3.752976, 0.0
13, 57.732142, 33.365674, 24.197365, 30.601837, 57.732142, 3.941339, 0.0
14, 57.732142, 35.552921, 24.486311, 57.255684, 57.732142, 6.320417, 0.0
15, 57.732142, 41.325878, 22.294013, 57.732142, 57.732142, 21.73735, 0.0
game 2 
gen, best, mean, std, median, q1, q3, life
0, 57.16227, 2.691829, 11.927022, -5.247024, 3.752976, -5.252273, 0.0
1, 57.194865, 5.412531, 14.411291, 3.130703, 12.779817, -5.250961, 0.0
2, 57.194865, 9.445873, 17.860832, 3.752976, 21.299336, -5.252273, 44.0
3, 57.194865, 14.215754, 22.121835, 3.752976, 21.752976, -5.247024, 44.0
4, 57.601837, 19.410022, 24.320402, 12.790514, 48.319331, -5.209486, 44.0
5, 57.601837, 21.864139, 23.22662, 21.225526, 52.664466, 3.255713, 44.0
6, 57.601837, 24.373267, 21.976371, 21.752976, 52.662595, 3.752976, 44.0
7, 57.601837, 29.003244, 23.234482, 21.752976, 57.16227, 5.74826, 44.0
8, 66.222348, 29.943819, 23.112315, 21.752976, 57.16227, 12.790514, 44.0
9, 66.222348, 31.022967, 21.899031, 21.752976, 57.16227, 12.790514, 44.0
10, 66.222348, 37.699703, 21.100534, 43.738255, 57.21004, 21.752976, 44.0
11, 66.222348, 38.271224, 19.6074, 39.224042, 57.21004, 21.752976, 44.0
12, 66.222348, 41.485502, 18.686753, 56.926176, 57.261851, 21.752976, 44.0
13, 66.222348, 42.532597, 18.371314, 57.156472, 57.718088, 21.752976, 80.0
14, 66.752976, 46.793279, 17.3516, 57.194865, 57.752976, 21.752976, 80.0
15, 66.752976, 46.419975, 18.286908, 57.194865, 57.752976, 21.752976, 80.0
game 3 
gen, best, mean, std, median, q1, q3, life
0, 57.752976, 7.312094, 19.567585, -5.209486, 12.790514, -5.252273, 0.0
1, 57.752976, 13.845179, 23.617228, 3.146486, 21.752976, -5.252273, 0.0
2, 57.752976, 17.232323, 24.727915, 3.752976, 48.271586, -5.209486, 0.0
3, 66.273152, 22.443386, 26.644952, 8.00342, 57.171067, 3.130703, 12.0
4, 66.273152, 24.603168, 25.620101, 21.470917, 57.16227, 3.130703, 12.0
5, 66.273152, 26.2613, 26.057294, 21.752976, 57.16227, 3.130703, 48.0
6, 66.273152, 19.873099, 25.820037, 3.752976, 57.16227, 3.130703, 48.0
7, 66.273152, 24.509381, 26.786442, 12.482257, 57.16227, 3.144495, 48.0
8, 66.273152, 27.548634, 27.545522, 17.271745, 57.16227, 3.130703, 48.0
9, 66.273152, 27.341899, 26.697108, 21.500202, 57.16227, 3.130703, 48.0
10, 75.091917, 28.397468, 26.348985, 21.326677, 57.186716, 3.194154, 48.0
11, 75.091917, 26.802485, 25.129186, 21.460547, 57.16227, 3.639622, 48.0
12, 75.091917, 28.419936, 26.447176, 21.292978, 57.199397, 3.639622, 48.0
13, 75.091917, 33.115441, 27.178163, 21.752976, 57.276415, 3.752976, 48.0
14, 75.091917, 34.32997, 28.455431, 21.750351, 66.2699, 3.752976, 48.0
15, 75.091917, 37.527167, 29.886496, 26.013064, 66.272339, 3.752976, 48.0
game 4 
gen, best, mean, std, median, q1, q3, life
0, 57.732142, 4.34721, 19.081467, -5.247024, 3.752976, -5.592297, 0.0
1, 57.732142, 9.569173, 23.843199, -5.247024, 12.519032, -5.57699, 0.0
2, 57.732142, 9.831089, 23.286305, -5.236428, 12.515406, -5.252273, 0.0
3, 66.168118, 13.310992, 25.153045, 3.130703, 21.750358, -5.247024, 0.0
4, 66.174, 18.207923, 27.398821, 3.752976, 57.214327, -5.247024, 0.0
5, 66.174, 22.638781, 28.037742, 12.790514, 57.262784, -5.247024, 0.0
6, 66.174, 22.887124, 28.147499, 12.771745, 57.605468, -5.221682, 0.0
7, 66.174, 29.06883, 28.482734, 21.752976, 57.732142, 3.226807, 0.0
8, 66.21004, 34.221272, 27.700716, 30.061845, 57.732142, 3.769286, 0.0
9, 66.601837, 36.520909, 25.935459, 43.691898, 57.600709, 12.412329, 0.0
10, 75.091917, 35.989439, 27.293988, 57.10132, 57.309099, 3.782257, 0.0
11, 75.091917, 35.728745, 26.805323, 43.15526, 57.307486, 5.886299, 0.0
12, 75.701683, 40.425259, 26.365204, 57.16227, 57.528804, 12.782362, 0.0
13, 75.701683, 47.794975, 25.590483, 57.190547, 66.172529, 21.714506, 0.0
14, 75.701683, 51.781058, 23.085831, 57.281341, 66.203327, 50.754829, 0.0
15, 75.701683, 51.812855, 26.491701, 57.527694, 75.091917, 21.759643, 0.0
game 5 
gen, best, mean, std, median, q1, q3, life
0, 66.144928, 4.144777, 18.320909, -5.247024, 3.752976, -5.252273, 0.0
1, 66.165189, 9.66775, 23.329345, -5.228255, 12.790514, -5.252273, 0.0
2, 66.165189, 12.236257, 25.027105, -5.212211, 21.752976, -5.252273, 0.0
3, 66.219256, 14.985175, 26.572462, 0.211474, 21.781129, -5.252273, 42.0
4, 66.219256, 12.68777, 25.166235, 0.211474, 21.752976, -5.252273, 42.0
5, 66.219256, 10.840415, 22.941554, 3.130703, 21.752976, -5.252273, 42.0
6, 66.219256, 12.440057, 24.233449, 3.264934, 21.752976, -5.252273, 42.0
7, 66.219256, 16.726597, 25.336447, 3.752976, 21.752976, -5.250961, 42.0
8, 66.286267, 18.507245, 27.782554, 3.752976, 50.522161, -5.247024, 42.0
9, 66.286267, 21.926652, 27.754796, 12.674782, 57.16227, -5.23764, 42.0
10, 66.752976, 29.594482, 29.116034, 21.752976, 63.949619, 3.722044, 42.0
11, 66.752976, 32.4242, 28.605345, 21.752976, 63.949619, 3.752976, 42.0
12, 66.752976, 34.40388, 27.774399, 25.929287, 66.219256, 3.752976, 42.0
13, 66.752976, 36.550136, 28.787527, 57.16227, 66.219256, 3.752976, 42.0
14, 66.752976, 40.69316, 27.774596, 57.228564, 66.228573, 3.752976, 42.0
15, 66.752976, 44.498027, 25.660008, 57.452372, 66.286267, 21.752976, 42.0
game 6 
gen, best, mean, std, median, q1, q3, life
0, 57.16227, 1.910146, 14.283641, -5.247024, 3.633836, -5.252273, 0.0
1, 57.266659, 6.861787, 19.654175, -5.247024, 16.945218, -5.252273, 60.0
2, 57.266659, 13.1183, 24.117646, 3.130703, 21.752976, -5.250961, 60.0
3, 57.2699, 17.366959, 26.964716, 3.246506, 57.16227, -5.252273, 60.0
4, 57.601837, 21.824213, 26.399441, 7.821864, 57.16227, 3.130703, 60.0
5, 66.139214, 22.222592, 27.550687, 4.02261, 57.16227, -5.209486, 60.0
6, 66.139214, 25.979508, 28.206034, 17.246098, 57.230121, -3.138179, 66.0
7, 66.721885, 27.682174, 27.240048, 21.752976, 57.257914, 3.169667, 66.0
8, 66.721885, 31.081837, 27.484709, 26.009817, 57.257914, 3.21004, 66.0
9, 66.721885, 31.677486, 26.213049, 21.755614, 57.231679, 3.752976, 66.0
10, 66.721885, 37.694531, 25.176124, 57.16227, 57.522121, 12.649006, 66.0
11, 66.721885, 38.776533, 24.775743, 57.16227, 57.601837, 21.335248, 66.0
12, 66.721885, 42.39216, 24.784718, 57.16227, 66.093958, 21.752976, 66.0
13, 75.054579, 44.271214, 23.914395, 57.16227, 66.139214, 21.752976, 66.0
14, 75.054579, 48.984933, 21.330198, 57.216194, 66.139214, 30.288123, 66.0
15, 75.054579, 48.662868, 23.008271, 57.246054, 66.721885, 21.813745, 66.0
game 7 
gen, best, mean, std, median, q1, q3, life
