
game 0 
gen, best, mean, std, median, q1, q3, life
0, 56.773463, 8.139743, 17.347994, -4.682131, 21.174, -5.809475, 0.0
1, 84.266602, 24.152641, 17.713843, 21.174, 30.174, 21.171791, 4.0
2, 84.993424, 40.086725, 19.326031, 34.462084, 56.773463, 21.174, 12.0
3, 84.993424, 49.755693, 19.628099, 56.773463, 56.843317, 30.174738, 12.0
4, 85.554995, 47.355248, 23.069893, 56.767569, 56.843317, 21.174738, 16.0
5, 85.554995, 46.94627, 24.711648, 48.130739, 56.773463, 21.174, 16.0
6, 85.554995, 52.493324, 23.17658, 56.773463, 72.529437, 25.597693, 16.0
7, 85.554995, 59.840927, 21.867577, 56.820033, 82.888934, 50.091872, 16.0
8, 85.554995, 68.827284, 22.464121, 85.554995, 85.554995, 56.762688, 16.0
9, 85.554995, 72.876115, 22.331591, 85.554995, 85.554995, 61.276434, 16.0
10, 85.554995, 76.935518, 14.217683, 85.554995, 85.554995, 65.768044, 16.0
11, 85.554995, 78.738504, 15.924334, 85.554995, 85.554995, 85.554995, 16.0
12, 85.554995, 82.092352, 9.502297, 85.554995, 85.554995, 85.554995, 16.0
13, 85.554995, 85.526612, 0.139434, 85.554995, 85.554995, 85.554995, 16.0
14, 85.554995, 85.554995, 4e-06, 85.554995, 85.554995, 85.554995, 16.0
15, 85.554995, 85.554995, 4e-06, 85.554995, 85.554995, 85.554995, 16.0
game 1 
gen, best, mean, std, median, q1, q3, life
0, 65.783394, 12.162215, 17.720793, 4.317869, 21.174, -4.682131, 0.0
1, 74.771489, 37.959851, 18.467033, 38.713124, 56.773463, 21.174, 0.0
2, 74.855814, 45.427941, 22.184584, 56.773463, 63.625077, 21.175479, 0.0
3, 74.884108, 48.999648, 22.544686, 56.773463, 65.781901, 30.192357, 0.0
4, 74.884108, 51.170458, 24.112169, 56.773463, 74.778922, 38.746312, 0.0
5, 74.884108, 49.717754, 27.293418, 61.254081, 74.855814, 21.174, 0.0
6, 74.884108, 53.108038, 27.024699, 65.783394, 74.861195, 25.678134, 0.0
7, 74.884108, 47.568645, 29.682599, 61.346042, 74.884108, 20.948348, 0.0
8, 74.884108, 52.596749, 31.020941, 74.862273, 74.884108, 11.529606, 0.0
9, 74.884108, 56.378826, 28.351079, 74.884108, 74.884108, 47.869328, 0.0
10, 74.884108, 71.289529, 12.663117, 74.884108, 74.884108, 74.884108, 0.0
11, 74.884108, 74.337707, 2.162717, 74.884108, 74.884108, 74.884108, 0.0
12, 74.884108, 74.883456, 0.004561, 74.884108, 74.884108, 74.884108, 0.0
13, 74.884108, 74.884108, 4e-06, 74.884108, 74.884108, 74.884108, 0.0
14, 74.884108, 74.884108, 4e-06, 74.884108, 74.884108, 74.884108, 0.0
15, 74.884108, 74.884108, 4e-06, 74.884108, 74.884108, 74.884108, 0.0
game 2 
gen, best, mean, std, median, q1, q3, life
0, 85.211736, 8.845734, 20.249051, 3.087532, 21.174, -5.655088, 14.0
1, 85.211736, 33.056856, 20.058855, 21.174, 56.773463, 21.174, 14.0
2, 85.211736, 48.448523, 17.860054, 56.773463, 56.773463, 25.596068, 14.0
3, 85.79141, 50.506279, 19.405058, 56.773463, 56.773463, 30.177695, 20.0
4, 85.99141, 50.157638, 23.392852, 56.773463, 65.767164, 23.348237, 22.0
5, 87.193424, 55.822049, 24.703493, 56.773463, 84.99141, 30.174738, 34.0
6, 87.193424, 58.761879, 23.316897, 56.773463, 84.842921, 38.953456, 34.0
7, 87.59141, 60.593945, 22.321576, 56.773463, 85.661736, 47.879703, 38.0
8, 89.413791, 69.04299, 19.480931, 74.747137, 87.146491, 56.773463, 56.0
9, 89.613791, 77.878788, 15.840498, 87.101573, 87.193424, 68.02743, 58.0
10, 89.613791, 84.198858, 10.02546, 87.601573, 89.213791, 86.679034, 58.0
11, 89.613791, 88.930572, 0.891632, 89.413791, 89.613791, 88.393424, 58.0
12, 89.613791, 86.335288, 8.066785, 89.613791, 89.613791, 87.74141, 58.0
13, 89.613791, 87.797611, 7.345849, 89.613791, 89.613791, 89.613791, 58.0
14, 89.613791, 89.609791, 0.028, 89.613791, 89.613791, 89.613791, 58.0
15, 89.613791, 89.613791, 1e-06, 89.613791, 89.613791, 89.613791, 58.0
game 3 
