
game 0 
gen, best, mean, std, median, q1, q3, life
0, 57.732142, 3.780257, 16.749766, -5.247024, 3.752976, -5.252273, 0.0
1, 57.732142, 20.60599, 20.787665, 21.704189, 21.752976, 3.752976, 0.0
2, 57.752976, 32.997242, 20.145173, 21.752976, 57.209654, 21.752976, 0.0
3, 75.752976, 42.834613, 22.307505, 57.16227, 57.732142, 21.752976, 0.0
4, 75.752976, 46.449262, 18.925872, 57.16227, 57.724449, 21.752976, 0.0
5, 75.752976, 49.838753, 18.900684, 57.273152, 57.747767, 21.752976, 0.0
6, 75.752976, 50.389845, 21.588922, 57.271526, 57.752976, 23.895543, 0.0
7, 94.023266, 60.818908, 15.523215, 57.732142, 75.752976, 57.2699, 90.0
8, 94.023266, 64.557642, 19.350027, 66.752976, 75.752976, 57.2699, 90.0
9, 94.023266, 75.137089, 23.802649, 94.023266, 94.023266, 57.736038, 90.0
10, 94.023266, 74.009386, 23.362765, 84.888121, 94.023266, 57.229606, 90.0
11, 94.023266, 83.644689, 15.108295, 94.023266, 94.023266, 75.749039, 90.0
12, 94.023266, 85.483005, 17.256384, 94.023266, 94.023266, 94.023266, 90.0
13, 94.023266, 90.580605, 11.86378, 94.023266, 94.023266, 94.023266, 90.0
14, 94.023266, 94.023266, 1e-06, 94.023266, 94.023266, 94.023266, 90.0
15, 94.023266, 94.023266, 1e-06, 94.023266, 94.023266, 94.023266, 90.0
game 1 
gen, best, mean, std, median, q1, q3, life
0, 66.179917, 6.795007, 19.148953, -1.039392, 12.779817, -5.252273, 0.0
1, 66.179917, 32.589347, 24.026579, 25.66649, 57.16227, 12.782362, 0.0
2, 66.179917, 40.3112, 22.597099, 57.16227, 57.266659, 21.752976, 0.0
3, 66.179917, 45.394004, 20.29702, 57.247553, 57.601837, 23.90316, 0.0
4, 66.752976, 52.123857, 13.110906, 57.271526, 57.752976, 57.16227, 0.0
5, 75.054579, 46.094997, 20.483432, 57.19337, 57.732142, 21.752976, 0.0
6, 75.054579, 48.975612, 22.067432, 57.2699, 66.093958, 26.259643, 0.0
7, 75.054579, 58.507314, 15.801648, 57.66699, 66.179917, 57.123909, 0.0
8, 75.054579, 58.587086, 18.958263, 66.093278, 75.054579, 57.121227, 0.0
9, 75.094638, 60.010352, 20.50648, 66.094638, 75.054579, 57.164466, 0.0
10, 75.094638, 65.173117, 17.546571, 75.053272, 75.054579, 66.060678, 0.0
11, 75.094638, 68.972069, 6.815646, 70.687203, 75.054579, 66.059177, 0.0
12, 75.094638, 57.64631, 25.17829, 75.054579, 75.054579, 56.737887, 0.0
13, 75.176954, 61.601167, 20.973503, 70.638464, 75.054579, 57.171054, 0.0
14, 85.699556, 70.4677, 9.532869, 75.054579, 75.094638, 66.190525, 14.0
15, 85.699556, 74.8455, 7.833575, 75.094638, 75.176954, 75.094638, 14.0
game 2 
gen, best, mean, std, median, q1, q3, life
