
game 0 
gen, best, mean, std, median, q1, q3, life
9, 92.637155, 91.96968, 1.280977, 92.58272, 92.58272, 91.980191, 80.0
10, 92.644173, 92.20417, 1.018261, 92.58272, 92.637155, 92.526394, 80.0
11, 92.644173, 92.573878, 0.207535, 92.637155, 92.637155, 92.637155, 80.0
12, 92.644173, 92.463585, 0.611744, 92.644173, 92.644173, 92.637155, 80.0
13, 92.644173, 92.643077, 0.007673, 92.644173, 92.644173, 92.644173, 80.0
14, 92.644173, 92.642944, 0.008603, 92.644173, 92.644173, 92.644173, 80.0
15, 92.644173, 92.644173, 2e-06, 92.644173, 92.644173, 92.644173, 80.0
game 5 
gen, best, mean, std, median, q1, q3, life
0, 92.524826, 33.218008, 40.419963, 21.709747, 87.201213, -5.724163, 78.0
1, 92.524826, 71.463551, 28.52505, 87.727, 91.772379, 48.230906, 78.0
2, 92.524826, 65.197241, 32.045045, 87.727, 91.772379, 30.203942, 78.0
3, 92.524826, 75.193026, 25.123581, 87.727, 92.045874, 66.30257, 78.0
4, 92.58272, 85.27379, 14.834575, 89.947095, 92.375623, 87.727, 82.0
5, 92.58272, 73.723759, 26.194669, 87.727, 92.264336, 41.899501, 82.0
6, 92.73194, 81.884021, 21.469006, 91.772379, 92.535554, 87.727, 82.0
7, 92.73194, 82.511502, 20.838079, 92.434512, 92.576119, 87.727, 82.0
8, 92.73194, 87.819344, 12.971688, 92.531096, 92.58272, 89.633215, 82.0
9, 92.93194, 80.298857, 22.644322, 91.772379, 92.73194, 86.23453, 84.0
10, 92.93194, 90.84485, 5.952907, 92.73194, 92.73194, 91.772379, 84.0
11, 93.389365, 92.492455, 0.544806, 92.73194, 92.73194, 91.851937, 84.0
12, 93.389365, 91.504203, 3.613389, 92.93194, 92.93194, 91.772379, 84.0
13, 93.389365, 92.356041, 1.749722, 92.93194, 92.93194, 92.93194, 84.0
14, 93.389365, 92.32027, 1.978202, 92.93194, 92.93194, 92.93194, 84.0
15, 93.389365, 92.28811, 2.990343, 93.389365, 93.389365, 92.93194, 84.0
game 6 
gen, best, mean, std, median, q1, q3, life
0, 91.772379, 24.322405, 36.391248, 7.905157, 46.043015, -5.545177, 74.0
1, 92.527, 63.067424, 33.482079, 87.727, 88.722168, 30.203942, 78.0
2, 92.58272, 83.236914, 17.006995, 88.071697, 91.772379, 86.727, 78.0
3, 92.927, 84.507051, 16.137881, 90.68188, 92.500134, 87.727, 82.0
4, 92.927, 76.76969, 22.864834, 87.727, 91.772379, 68.644527, 82.0
5, 93.163047, 83.223839, 16.02227, 91.627129, 92.58272, 85.834299, 82.0
6, 93.22385, 87.740711, 8.456849, 91.90444, 92.727, 87.727, 84.0
7, 93.976119, 90.073068, 4.538043, 91.906538, 92.927, 87.853756, 90.0
8, 93.976119, 92.207291, 1.272512, 92.364252, 93.163047, 91.772379, 90.0
9, 93.98272, 92.458219, 1.425455, 92.527, 93.584414, 91.745874, 90.0
10, 94.58272, 93.150027, 1.141599, 93.55398, 93.98272, 92.377, 96.0
11, 94.58272, 93.337961, 1.376897, 93.97942, 93.989365, 92.968764, 96.0
12, 94.58272, 93.518405, 1.819153, 93.989365, 94.58272, 93.489365, 96.0
13, 94.58272, 94.329331, 0.734079, 94.58272, 94.58272, 94.58272, 96.0
14, 94.58272, 94.573562, 0.05642, 94.58272, 94.58272, 94.58272, 96.0
15, 94.58272, 94.58272, 1e-06, 94.58272, 94.58272, 94.58272, 96.0
game 7 
gen, best, mean, std, median, q1, q3, life
0, 92.368891, 26.907426, 39.056518, 7.816015, 72.471796, -5.533389, 76.0
1, 92.50625, 76.286253, 26.709302, 87.727, 91.772379, 85.62385, 76.0
2, 92.50625, 77.709298, 29.124724, 91.772379, 91.772379, 87.727, 76.0
3, 92.512404, 84.814798, 15.920711, 91.772379, 91.772379, 87.727, 80.0
4, 92.58272, 91.424662, 1.431234, 91.772379, 92.363558, 91.772379, 80.0
5, 92.58272, 86.432279, 13.127896, 91.772379, 92.500134, 87.55685, 80.0
6, 93.789365, 90.790103, 2.189953, 92.363558, 92.512404, 88.550381, 88.0
7, 93.789365, 91.594856, 1.633641, 92.512404, 92.576119, 90.110765, 88.0
8, 93.789365, 91.258743, 2.035126, 92.500134, 92.58272, 89.502788, 88.0
9, 93.789365, 90.656274, 3.154662, 91.772379, 92.56879, 89.137405, 88.0
10, 93.789365, 92.18495, 1.995079, 92.996054, 93.789365, 91.620266, 88.0
11, 93.789365, 93.443733, 0.846563, 93.789365, 93.789365, 93.789365, 88.0
12, 93.989365, 93.57036, 0.825435, 93.789365, 93.789365, 93.789365, 90.0
