
game 0 
gen, best, mean, std, median, q1, q3, life
0, 65.866602, 7.275443, 14.487459, 3.465557, 21.174, -5.826, 0.0
1, 74.783394, 14.57318, 18.563524, 21.174, 21.176216, 3.001063, 0.0
2, 74.783394, 15.705077, 19.849725, 21.174, 21.52754, -2.768245, 0.0
3, 74.783394, 16.086027, 20.42649, 17.245934, 21.176216, -2.761333, 0.0
4, 74.783394, 18.896708, 21.718139, 21.174, 28.044119, 4.272612, 2.0
5, 74.862273, 21.333119, 23.790688, 21.174, 30.171054, 3.800713, 2.0
6, 84.79141, 29.428198, 25.442139, 21.174, 56.773463, 4.317869, 10.0
7, 84.79141, 30.549837, 27.493499, 21.174, 56.773463, 4.317869, 10.0
8, 84.79141, 33.40431, 27.464828, 21.174, 56.773463, 12.514761, 10.0
9, 84.79141, 35.244897, 28.164812, 21.174, 56.773463, 12.587206, 10.0
10, 85.253671, 41.530835, 28.603125, 30.024658, 70.402183, 21.174, 14.0
11, 85.253671, 43.87266, 28.755481, 38.73565, 72.539221, 21.174, 14.0
12, 85.253671, 46.142231, 27.560083, 47.749351, 72.507828, 21.174, 14.0
13, 85.253671, 48.92465, 29.174561, 56.773463, 84.79141, 21.174, 14.0
14, 85.253671, 51.857647, 27.906654, 56.773463, 84.79141, 21.174, 14.0
15, 85.838793, 59.660648, 26.28733, 56.773463, 85.253671, 30.308433, 20.0
game 1 
gen, best, mean, std, median, q1, q3, life
0, 56.740419, 4.712232, 14.867654, -4.682131, 10.203359, -5.825262, 0.0
1, 74.738508, 9.054198, 17.931046, 4.286066, 21.174, -5.495094, 0.0
2, 74.738508, 12.685375, 20.475739, 4.290632, 21.174, -4.682131, 0.0
3, 74.860115, 18.034823, 25.157439, 7.918146, 21.174, -4.682131, 0.0
4, 74.860115, 22.511504, 25.582116, 21.174, 38.853671, 3.001685, 0.0
5, 74.860115, 26.723126, 25.023022, 21.174, 56.76664, 4.279339, 0.0
6, 85.419983, 31.409475, 27.535677, 21.174, 56.773463, 4.310956, 16.0
7, 85.419983, 32.941383, 24.700138, 21.174, 56.773463, 21.174, 16.0
8, 85.7894, 35.803388, 24.707189, 21.174, 56.773463, 21.174, 20.0
9, 85.7894, 38.479226, 22.88536, 30.171059, 56.773463, 21.174, 20.0
10, 85.7894, 41.833468, 22.817715, 30.175477, 56.773463, 21.174, 20.0
11, 85.815851, 43.114101, 22.751204, 38.973236, 56.773463, 21.174, 20.0
12, 88.066602, 43.896605, 23.959723, 43.470851, 56.773463, 21.174, 42.0
