
game 0 mutation rate 0
gen, best, mean, std, median, q1, q3
0, 66.194865, -2.41793, 10.804672, -5.273, -5.273, -5.252273
1, 66.194865, -1.117094, 11.602978, -5.273, -5.273, -5.234892
2, 66.194865, 1.59081, 12.78188, -5.247024, -5.273, 3.745122
3, 66.194865, 5.486549, 13.733247, 3.742505, -5.273, 21.092245
4, 66.194865, 12.667841, 15.056586, 21.092245, 3.631768, 21.752976
5, 66.194865, 22.23347, 17.839617, 21.752976, 12.790514, 21.752976
6, 66.194865, 32.079655, 17.075236, 21.752976, 21.752976, 39.601837
7, 66.302907, 42.523406, 19.86545, 39.601837, 21.752976, 66.194865
8, 66.302907, 50.789113, 18.781446, 57.601837, 28.12609, 66.194865
9, 66.302907, 57.892015, 15.471078, 66.194865, 57.231679, 66.194865
10, 66.302907, 65.29742, 2.698391, 66.194865, 66.194865, 66.194865
game 1 mutation rate 0
gen, best, mean, std, median, q1, q3
0, 57.16227, -1.949762, 9.968503, -5.273, -5.273, -5.209486
1, 57.16227, 1.483384, 13.090553, -5.214921, -5.273, 3.752976
2, 57.16227, 6.500594, 16.745568, 3.186632, -5.252273, 12.318984
3, 57.16227, 12.762326, 20.318843, 7.777634, -5.247024, 21.752976
4, 57.299556, 23.66258, 24.044021, 21.752976, 3.752976, 57.16227
5, 57.299556, 38.339432, 21.451104, 57.16227, 21.752976, 57.16227
6, 57.306268, 49.937544, 14.50668, 57.16227, 57.16227, 57.16227
7, 57.711733, 56.137752, 5.656196, 57.16227, 57.16227, 57.16227
8, 57.711733, 57.195316, 0.103003, 57.16227, 57.16227, 57.16227
9, 57.752976, 57.237101, 0.154438, 57.16227, 57.16227, 57.251481
10, 57.752976, 57.298417, 0.187537, 57.257079, 57.16227, 57.306268
game 2 mutation rate 0
gen, best, mean, std, median, q1, q3
0, 48.31642, -1.975571, 8.730218, -5.273, -5.478812, -5.184289
1, 48.31642, 2.208289, 11.226937, 3.130703, -5.273, 3.752976
2, 57.286267, 7.26334, 15.913358, 3.752976, -5.247024, 5.781527
3, 57.732142, 15.733612, 19.76002, 3.851459, 3.597408, 21.790514
4, 66.225448, 29.569284, 21.454795, 21.790514, 3.789151, 48.31642
5, 75.059829, 41.078908, 18.928794, 48.31642, 21.790514, 57.236561
6, 75.059829, 47.875728, 14.270374, 52.465613, 48.313882, 57.286267
7, 75.059829, 55.469872, 7.344107, 57.286267, 48.31642, 57.732142
8, 75.059829, 59.31766, 5.299198, 57.732142, 57.286267, 57.732142
