
game 0 mutation rate 0
gen, best, mean, std, median, q1, q3
0, 75.686794, 6.121832, 21.160268, -5.783825, -5.796058, 12.213892
1, 92.33704, 20.675026, 30.479679, 12.225448, -5.783825, 32.523533
2, 92.33704, 34.931737, 33.546008, 30.203942, -5.309502, 57.74381
3, 92.33704, 51.724395, 34.86689, 57.745116, 21.51245, 87.499638
4, 92.33704, 61.449535, 34.740328, 85.62385, 30.203942, 90.168278
5, 92.33704, 78.502019, 21.248684, 87.732203, 85.615516, 91.772379
6, 92.33704, 83.089837, 16.610908, 91.761645, 85.62385, 91.772379
7, 92.33704, 89.420151, 6.337408, 91.772379, 88.995186, 91.772379
8, 92.372379, 90.572326, 2.860734, 91.772379, 91.761645, 91.772379
9, 92.53704, 91.637076, 0.810922, 91.772379, 91.772379, 91.772379
10, 92.53704, 91.746272, 0.554628, 91.772379, 91.772379, 91.772379
game 1 mutation rate 0
gen, best, mean, std, median, q1, q3
0, 91.772379, 10.783235, 30.492932, -5.783825, -5.796058, 17.05077
1, 91.772379, 25.015213, 36.165285, -0.697565, -5.783825, 41.801251
2, 91.772379, 40.649579, 38.926287, 34.829382, -5.315657, 86.08188
3, 91.772379, 55.821246, 37.547944, 80.756374, 21.721935, 89.139634
4, 91.772379, 72.431519, 27.538574, 88.236144, 39.627111, 91.772379
5, 92.363558, 83.268063, 16.855668, 91.154892, 87.080072, 91.772379
6, 92.363558, 90.714582, 1.900271, 91.772379, 90.437405, 91.772379
7, 92.363558, 91.588064, 0.544681, 91.772379, 91.772379, 91.772379
8, 92.363558, 91.811791, 0.147466, 91.772379, 91.772379, 91.772379
9, 92.363558, 91.851203, 0.200962, 91.772379, 91.772379, 91.772379
10, 92.363558, 91.930027, 0.261429, 91.772379, 91.772379, 92.363558
game 2 mutation rate 0
gen, best, mean, std, median, q1, q3
0, 87.727, 5.604244, 25.219651, -5.783825, -5.796058, 3.203942
1, 92.363558, 23.215079, 37.586046, 3.203942, -5.783825, 59.677119
2, 92.531096, 42.43479, 40.79079, 30.572099, -5.445423, 85.62385
3, 92.531096, 59.60564, 38.85154, 86.009276, 28.526018, 89.091211
4, 92.531096, 78.81096, 21.980425, 87.727, 85.62385, 91.772379
5, 92.531096, 86.686999, 12.249281, 91.772379, 87.727, 91.772379
6, 92.531096, 91.252364, 1.691966, 91.772379, 91.772379, 92.363558
7, 92.531096, 92.032165, 0.754913, 92.363558, 91.772379, 92.531096
8, 92.576119, 92.3118, 0.329244, 92.531096, 91.772379, 92.531096
9, 92.576119, 92.431801, 0.243153, 92.531096, 92.524826, 92.531096
10, 92.58272, 92.526868, 0.030228, 92.531096, 92.531096, 92.531096
game 3 mutation rate 0
gen, best, mean, std, median, q1, q3
0, 91.772379, 6.937535, 27.805286, -5.796058, -5.796058, -5.247368
1, 91.772379, 21.219029, 34.902302, -5.181531, -5.783825, 32.538301
2, 92.531096, 40.995187, 39.522561, 30.433202, -5.551922, 87.727
3, 92.531096, 53.90365, 39.896609, 86.50444, 19.216611, 88.992235
4, 92.531096, 74.222868, 28.939786, 89.934068, 77.623606, 91.772379
5, 92.572379, 88.220531, 10.152477, 91.772379, 88.044358, 91.895993
