
game 0 mutation rate 0
gen, best, mean, std, median, q1, q3
6, 92.572379, 91.725751, 1.193162, 91.772379, 91.772379, 92.531096
7, 92.776119, 92.115427, 0.883813, 92.531096, 91.772379, 92.531096
8, 92.776119, 92.374304, 0.28977, 92.531096, 92.195993, 92.531096
9, 92.776119, 92.495517, 0.147228, 92.531096, 92.531096, 92.531096
10, 92.776119, 92.55156, 0.061561, 92.531096, 92.531096, 92.531096
game 4 mutation rate 0
gen, best, mean, std, median, q1, q3
0, 91.276036, 15.110584, 36.118496, -5.777648, -5.796058, 12.59909
1, 91.276036, 31.769779, 41.36012, 8.062791, -5.783825, 85.62385
2, 91.276036, 46.278892, 40.104365, 44.277283, 3.397479, 87.727
3, 91.276036, 66.371239, 31.932539, 87.694731, 37.318073, 87.727
4, 91.276036, 73.661915, 26.190636, 87.727, 78.58454, 88.620801
5, 91.276036, 85.542759, 9.863364, 88.196054, 87.727, 89.396054
6, 91.276036, 88.902063, 0.825385, 89.396054, 88.080076, 89.537405
7, 91.276036, 89.190526, 0.814414, 89.537405, 89.2313, 89.537405
8, 92.58272, 89.675796, 0.64322, 89.537405, 89.537405, 89.537405
9, 92.58272, 89.803472, 0.638466, 89.537405, 89.537405, 89.737405
10, 92.58272, 89.95503, 0.716865, 89.537405, 89.537405, 89.937405
game 5 mutation rate 0
gen, best, mean, std, median, q1, q3
0, 91.772379, 11.623705, 30.939796, -5.783825, -5.796058, 14.65632
1, 91.772379, 29.49544, 37.213997, 21.604084, -5.75329, 65.615859
2, 92.379644, 50.235394, 39.385921, 66.096211, 1.214583, 87.85701
3, 92.379644, 66.169757, 34.406506, 87.727, 30.203942, 91.772379
4, 92.379644, 86.429454, 12.039202, 91.772379, 87.727, 91.772379
5, 92.379644, 85.445928, 14.421507, 91.772379, 87.438814, 91.772379
6, 92.718596, 91.467588, 1.209211, 91.772379, 91.772379, 91.772379
7, 92.718596, 91.91555, 0.273081, 91.772379, 91.772379, 91.811034
8, 92.718596, 92.058721, 0.328862, 91.84969, 91.772379, 92.379644
9, 92.718596, 92.241167, 0.329242, 92.379644, 91.888345, 92.500134
10, 93.331096, 92.446692, 0.285212, 92.500134, 92.379644, 92.718596
game 6 mutation rate 0
gen, best, mean, std, median, q1, q3
0, 91.772379, 7.055702, 28.790336, -5.783825, -5.796058, -5.361292
1, 91.772379, 18.315968, 37.203488, -5.545177, -5.793775, 39.266662
2, 91.772379, 35.990282, 41.447386, 25.823557, -5.769879, 87.649638
3, 92.500134, 49.521582, 41.814679, 52.104322, 1.129519, 91.772379
4, 92.576119, 70.934691, 31.319977, 87.727, 39.454823, 91.772379
5, 92.576119, 84.649465, 16.05232, 91.772379, 87.727, 91.772379
6, 92.576119, 90.30983, 4.605095, 91.772379, 91.37065, 91.772379
7, 92.576119, 91.300713, 1.35431, 91.772379, 91.772379, 91.772379
8, 92.576119, 91.91464, 0.296625, 91.772379, 91.772379, 91.772379
9, 92.576119, 92.042337, 0.355474, 91.772379, 91.772379, 92.500134
10, 92.576119, 92.229127, 0.361131, 92.500134, 91.772379, 92.500134
game 7 mutation rate 0
gen, best, mean, std, median, q1, q3
0, 87.727, 7.211179, 25.990306, -5.788419, -5.796058, -3.091933
1, 92.327, 19.5841, 32.819173, -5.313206, -5.783825, 39.689824
2, 92.327, 31.751826, 35.740008, 34.710059, -5.655664, 57.216945
3, 92.927, 50.121538, 36.270718, 57.217716, 12.724681, 87.727
4, 92.927, 71.866322, 26.263233, 87.727, 57.119728, 87.727
5, 92.927, 83.809187, 14.007415, 87.727, 87.727, 89.787405
6, 92.927, 89.169644, 4.129687, 88.618216, 87.727, 92.327
7, 92.927, 90.868978, 2.19487, 92.327, 87.727, 92.927
8, 93.127, 92.169735, 1.316691, 92.927, 92.327, 92.927
9, 93.127, 92.803667, 0.253224, 92.927, 92.927, 92.927
10, 93.127, 92.940334, 0.049889, 92.927, 92.927, 92.927
game 8 mutation rate 0
gen, best, mean, std, median, q1, q3
0, 91.772379, 2.923, 24.249519, -5.783825, -5.796058, -5.54223
1, 91.772379, 9.14345, 27.442582, -5.757262, -5.796058, 8.060455
2, 92.13704, 25.681819, 34.759215, 12.360741, -5.59368, 57.282972
3, 92.13704, 48.078693, 35.52849, 57.282972, 12.22313, 85.62385
4, 92.572379, 61.900692, 30.865146, 66.138464, 30.907474, 87.727
5, 92.572379, 76.085691, 19.886319, 87.727, 65.697381, 91.772379
6, 92.572379, 86.108123, 10.104291, 91.772379, 87.714498, 91.772379
7, 92.572379, 90.370347, 4.102061, 91.772379, 90.758008, 92.13704
8, 92.572379, 91.470596, 1.435776, 92.13704, 91.772379, 92.13704
9, 92.572379, 92.158632, 0.289799, 92.13704, 91.895874, 92.572379
10, 92.572379, 92.355887, 0.228563, 92.572379, 92.13704, 92.572379
game 9 mutation rate 0
gen, best, mean, std, median, q1, q3
0, 75.686794, 6.121832, 21.160268, -5.783825, -5.796058, 12.213892
1, 92.33704, 20.675026, 30.479679, 12.225448, -5.783825, 32.523533
2, 92.33704, 34.931737, 33.546008, 30.203942, -5.309502, 57.74381
3, 92.33704, 51.724395, 34.86689, 57.745116, 21.51245, 87.499638
4, 92.33704, 61.449535, 34.740328, 85.62385, 30.203942, 90.168278
5, 92.33704, 78.502019, 21.248684, 87.732203, 85.615516, 91.772379
6, 92.33704, 83.089837, 16.610908, 91.761645, 85.62385, 91.772379
7, 92.33704, 89.420151, 6.337408, 91.772379, 88.995186, 91.772379
8, 92.372379, 90.572326, 2.860734, 91.772379, 91.761645, 91.772379
9, 92.53704, 91.637076, 0.810922, 91.772379, 91.772379, 91.772379
10, 92.53704, 91.746272, 0.554628, 91.772379, 91.772379, 91.772379
