
game 0 mutation rate 0
gen, best, mean, std, median, q1, q3
0, 21.174, -0.75065, 9.142278, -5.826, -5.834811, 3.291043
1, 38.864435, 3.011509, 11.023533, -4.682131, -5.831882, 6.328813
2, 38.864435, 7.869327, 12.056873, 4.317869, -4.839578, 21.174
3, 74.769519, 15.226153, 14.238208, 21.174, 4.317869, 21.174
4, 74.769519, 19.746646, 13.009257, 21.174, 19.209967, 21.174
5, 74.769519, 25.747384, 13.883832, 21.174, 21.174, 32.660429
6, 74.769519, 32.275634, 13.557837, 25.710222, 21.174, 38.864435
7, 74.769519, 38.066545, 14.331576, 38.864435, 21.529775, 38.864435
8, 74.769519, 46.094072, 14.849192, 38.864435, 38.864435, 56.773463
9, 74.769519, 52.628426, 14.427881, 47.821325, 38.864435, 65.866602
10, 74.769519, 60.113683, 14.194414, 65.866602, 45.511451, 74.769519
game 1 mutation rate 0
gen, best, mean, std, median, q1, q3
0, 56.773463, -1.919876, 10.160847, -5.827473, -5.834811, -4.695893
1, 56.773463, 2.14456, 14.154027, -4.70953, -5.831882, 3.340501
2, 56.773463, 8.886951, 17.330495, 3.95566, -5.630257, 21.174
3, 56.773463, 17.259691, 18.427057, 21.174, 3.539305, 21.379599
4, 56.773463, 28.114125, 18.189626, 21.379599, 21.174, 41.342175
5, 74.746171, 37.832668, 19.05166, 39.165189, 21.303728, 56.773463
6, 74.746171, 44.263007, 16.875555, 56.773463, 22.030187, 56.773463
7, 85.838793, 52.581313, 12.63295, 56.773463, 48.092721, 56.773463
8, 85.838793, 57.303618, 10.501025, 56.773463, 56.773463, 56.773463
9, 87.011736, 59.781575, 11.004337, 56.773463, 56.773463, 65.770505
10, 87.011736, 62.312289, 12.446308, 56.773463, 56.773463, 68.083248
game 2 mutation rate 0
gen, best, mean, std, median, q1, q3
0, 65.783394, 0.725714, 14.474984, -5.831882, -5.834811, -4.677458
1, 65.783394, 7.16535, 16.305046, 3.022475, -5.831882, 21.174
2, 65.783394, 14.82389, 18.016075, 20.973732, 1.095303, 21.345282
3, 65.783394, 23.589305, 19.73986, 21.420641, 4.317869, 30.246146
4, 74.74425, 36.285052, 20.06776, 30.428027, 21.174, 56.773463
5, 74.74425, 45.770603, 18.535535, 56.773463, 21.67699, 56.890752
6, 74.74425, 56.318045, 14.848951, 56.890752, 56.773463, 65.783394
7, 74.74425, 64.433052, 5.626864, 65.783394, 56.886893, 65.783394
8, 74.74425, 67.425488, 5.035635, 65.783394, 65.783394, 74.74425
9, 74.74425, 70.41317, 4.477938, 74.74425, 65.783394, 74.74425
10, 74.74425, 72.504036, 3.880164, 74.74425, 72.504036, 74.74425
game 3 mutation rate 0
gen, best, mean, std, median, q1, q3
0, 56.851532, 0.014077, 13.223105, -5.833347, -5.834811, 2.828635
1, 56.851532, 4.060716, 15.650169, -4.68674, -5.834811, 4.317869
2, 56.851532, 8.57419, 17.242605, 4.317869, -5.82968, 12.9493
3, 56.851532, 14.610056, 17.932582, 12.165189, 4.15691, 21.174
4, 56.851532, 22.441585, 18.921413, 21.174, 4.317869, 30.540414
5, 56.851532, 29.591277, 19.064152, 29.975209, 12.280557, 47.937059
6, 74.746171, 39.4036, 18.531171, 38.881903, 21.263167, 56.773463
7, 87.593424, 45.182716, 18.719211, 56.773463, 21.224929, 56.773463
8, 87.593424, 50.868156, 17.284302, 56.773463, 38.881903, 56.773463
9, 87.593424, 61.880707, 12.050174, 56.773463, 56.773463, 68.084869
10, 87.593424, 66.606157, 11.549354, 61.316789, 56.773463, 74.746171
game 4 mutation rate 0
gen, best, mean, std, median, q1, q3
0, 56.773463, 2.493805, 15.840344, -5.831882, -5.834811, 3.361054
1, 56.773463, 10.46841, 18.786424, 4.272612, -5.831882, 21.174
2, 56.773463, 18.892653, 19.640537, 21.174, 1.080265, 30.839537
3, 56.773463, 30.913755, 19.197204, 34.811012, 21.174, 48.174
4, 56.773463, 40.165941, 14.117076, 39.386872, 27.819241, 56.741544
5, 56.773463, 46.055752, 13.340809, 48.174, 39.07067, 56.773463
6, 56.773463, 52.673664, 6.7544, 56.773463, 48.174, 56.773463
7, 56.773463, 56.200166, 2.145083, 56.773463, 56.773463, 56.773463
