
game 0 mutation rate 1
gen, best, mean, std, median, q1, q3
0, 59.092245, 0.429916, 14.163219, -5.273, -5.675844, -5.206739
1, 59.092245, 4.720462, 14.98929, -5.203992, -5.269144, 12.390376
2, 59.092245, 8.109312, 17.472441, 3.130703, -5.248336, 14.880881
3, 59.092245, 11.962747, 18.751762, 3.752976, -5.247024, 21.752976
4, 59.092245, 15.618197, 19.572226, 12.790514, -5.209486, 21.756955
5, 59.092245, 20.264339, 21.829469, 12.790514, 3.191858, 28.332336
6, 66.323246, 24.11222, 22.688653, 12.790514, 3.752976, 50.789652
7, 66.323246, 27.847751, 23.023006, 21.538111, 10.401754, 57.16227
8, 66.323246, 30.333137, 23.935019, 21.752976, 9.646673, 57.163732
9, 75.091917, 33.789416, 23.994202, 25.673048, 12.787796, 57.216189
10, 75.091917, 39.243781, 23.295716, 57.16227, 12.790514, 57.601837
game 1 mutation rate 1
gen, best, mean, std, median, q1, q3
0, 66.094638, 1.187803, 15.35919, -5.252273, -5.273, 3.167131
1, 66.094638, 7.544318, 20.779712, -5.247024, -5.273, 12.412329
2, 66.094638, 15.292126, 24.904428, 3.526266, -5.252273, 24.002976
3, 66.094638, 25.884869, 27.279729, 21.516039, -5.217551, 57.16227
4, 66.094638, 35.172549, 25.652167, 56.815985, 3.789371, 57.188859
5, 75.054579, 42.42231, 22.683203, 57.16227, 21.752976, 57.601837
6, 75.097367, 46.504313, 20.160444, 57.168135, 21.752976, 57.732142
7, 75.16227, 43.724726, 24.356585, 57.165194, 21.752976, 66.067851
8, 75.16227, 39.195612, 27.674885, 57.16227, 12.109872, 66.094638
9, 75.16227, 50.389452, 22.964988, 57.223898, 21.752976, 66.16227
10, 75.16227, 51.409769, 21.823414, 57.16227, 37.115848, 66.286267
game 2 mutation rate 1
gen, best, mean, std, median, q1, q3
0, 57.21004, -0.723091, 12.183535, -5.273, -5.273, -3.019751
1, 57.21004, 4.19666, 15.903499, 0.492567, -5.273, 3.752976
2, 57.21004, 9.092833, 18.29807, 3.752976, -5.222958, 14.896161
3, 57.21004, 14.580962, 21.592135, 3.752976, -5.209486, 21.752976
4, 65.974134, 23.500253, 25.101357, 21.244473, 3.752976, 57.16227
5, 65.974134, 33.464009, 24.757189, 39.471706, 3.752976, 57.16227
6, 66.323246, 37.591667, 24.249621, 57.16227, 12.730856, 57.16227
7, 66.323246, 41.977391, 22.127116, 57.16227, 21.752976, 57.171929
8, 66.323246, 43.606622, 23.028292, 57.16227, 21.752976, 57.398049
9, 66.323246, 42.735856, 22.573444, 57.16227, 21.752976, 57.728286
10, 66.323246, 43.38067, 20.248448, 57.16227, 21.752976, 57.732142
game 3 mutation rate 1
gen, best, mean, std, median, q1, q3
0, 30.601837, -1.713092, 8.272759, -5.273, -5.47371, -5.23764
1, 57.16227, 4.395881, 13.790476, 3.029983, -5.253579, 6.219189
2, 57.16227, 9.232921, 16.297803, 3.752976, -5.252273, 21.297123
3, 57.266659, 12.025325, 17.956363, 8.250351, -5.247024, 21.752976
4, 57.279688, 20.669399, 21.437573, 17.271745, 3.319156, 23.993345
5, 75.225448, 26.581072, 24.292823, 21.752976, 3.751664, 57.16227
6, 75.225448, 32.714732, 22.591053, 21.752976, 12.790514, 57.16227
7, 75.225448, 43.419015, 20.244554, 57.16227, 21.752976, 57.200907
8, 75.225448, 43.89972, 19.479994, 57.16227, 21.752976, 57.266659
9, 75.225448, 44.382891, 18.816559, 57.16227, 21.752976, 57.2699
10, 75.225448, 45.616982, 17.700968, 57.225448, 21.752976, 57.395467
game 4 mutation rate 1
gen, best, mean, std, median, q1, q3
0, 21.306268, -3.180602, 5.561431, -5.273, -5.400415, -5.252273
1, 57.601837, 1.095027, 11.350442, -5.249649, -5.273, 3.752976
2, 57.601837, 4.009264, 11.904891, 3.752976, -5.257455, 3.831189
3, 57.752976, 8.158851, 15.387333, 3.752976, -5.252273, 12.790514
4, 57.752976, 12.955933, 17.260135, 8.011643, 3.220036, 21.42301
5, 66.282972, 20.538572, 20.970318, 12.790514, 3.752976, 30.714506
6, 66.752976, 28.29228, 23.353191, 21.752976, 3.752976, 57.16227
7, 66.752976, 34.902568, 22.783725, 30.752976, 12.790514, 57.601837
8, 66.752976, 39.416988, 22.795432, 57.16227, 21.59514, 57.601837
9, 66.752976, 46.327888, 19.79949, 57.601837, 21.752976, 57.732142
10, 66.752976, 40.756114, 22.562367, 57.16227, 19.105158, 57.732142
game 5 mutation rate 1
gen, best, mean, std, median, q1, q3
0, 57.16227, 0.517091, 13.788048, -5.273, -5.70459, -5.209486
1, 57.16227, 5.299909, 15.781227, -5.206746, -5.273, 12.76236
2, 57.16227, 13.834843, 20.196134, 3.802741, -5.247024, 21.752976
3, 57.732142, 24.105208, 22.521294, 21.752976, 3.752976, 57.16227
4, 57.732142, 32.842302, 23.089578, 21.752976, 12.790514, 57.16227
5, 75.241098, 42.424336, 19.486989, 57.16227, 21.752976, 57.16227
6, 75.752976, 47.491581, 16.537264, 57.16227, 21.781129, 57.16227
7, 75.752976, 51.213949, 14.476406, 57.16227, 57.16227, 57.186211
8, 75.752976, 53.944188, 12.642773, 57.16227, 57.16227, 57.601837
9, 75.752976, 52.019036, 14.953954, 57.16227, 57.16227, 57.727
10, 75.752976, 52.929346, 15.07003, 57.16227, 57.144003, 57.732142
game 6 mutation rate 1
gen, best, mean, std, median, q1, q3
0, 57.732142, -3.213744, 9.229178, -5.273, -5.739806, -5.252273
1, 57.732142, 0.201766, 14.599191, -5.252273, -5.273, -5.209486
2, 60.492245, 5.026258, 19.175421, -5.247024, -5.252273, 5.770765
3, 60.492245, 10.572704, 20.733558, 3.526266, -5.227023, 12.790514
4, 60.492245, 16.441091, 23.153836, 11.677461, -5.209486, 22.480877
5, 60.492245, 23.307349, 21.901498, 21.74774, 3.752976, 37.355299
6, 66.16227, 35.507135, 22.737869, 35.242559, 12.798756, 57.16227
7, 66.16227, 34.312394, 26.322297, 57.16227, 3.752976, 57.21004
8, 66.21004, 38.25813, 23.457186, 57.16227, 21.231737, 57.283821
9, 66.21004, 41.692683, 20.369663, 57.16227, 21.752976, 57.29873
10, 66.752976, 43.193791, 19.989421, 57.16227, 21.752976, 57.732142
game 7 mutation rate 1
gen, best, mean, std, median, q1, q3
0, 57.16227, -1.554868, 9.716005, -5.273, -5.391208, -5.202494
1, 57.732142, 2.006674, 13.02059, -5.228255, -5.273, 3.752976
2, 66.046757, 4.714449, 15.328917, 3.130703, -5.252273, 3.803382
3, 66.046757, 10.382062, 17.567568, 3.752976, -5.198497, 12.791884
4, 66.046757, 17.127743, 21.125905, 12.41968, 3.533908, 21.756955
5, 66.046757, 19.195612, 22.992041, 12.827358, 1.048403, 30.649006
6, 66.091917, 26.286735, 24.861229, 21.495462, 3.742545, 57.16227
7, 66.091917, 30.10739, 25.904458, 21.763615, 3.823275, 57.16227
8, 75.219256, 33.473891, 26.288296, 39.20266, 3.752976, 57.16227
9, 75.219256, 37.5087, 25.891142, 57.16227, 9.929055, 57.249858
10, 75.219256, 41.108983, 26.233758, 57.16227, 12.235617, 57.732142
game 8 mutation rate 1
gen, best, mean, std, median, q1, q3
0, 57.16227, -1.949762, 9.968503, -5.273, -5.273, -5.209486
1, 57.16227, 1.909119, 13.438111, -5.214921, -5.273, 3.752976
2, 57.16227, 9.386891, 16.644147, 3.752976, -5.218871, 15.393273
3, 57.31642, 16.091693, 20.713723, 12.790514, 1.051181, 21.790514
4, 66.16227, 27.236649, 22.631895, 21.752976, 12.126221, 57.16227
5, 66.16227, 40.091721, 20.043173, 57.16227, 21.740153, 57.16227
6, 66.16227, 46.573902, 18.629981, 57.16227, 28.531129, 57.171173
7, 94.023266, 50.592334, 16.143735, 57.16227, 57.157219, 57.286267
8, 94.023266, 51.987046, 15.994431, 57.16227, 57.16227, 57.601837
9, 94.023266, 51.118478, 18.928952, 57.237968, 57.16227, 57.732142
10, 94.023266, 52.744441, 17.673755, 57.228564, 57.16227, 59.810796
game 9 mutation rate 1
gen, best, mean, std, median, q1, q3
0, 57.16227, -2.428706, 9.383271, -5.273, -5.398163, -5.252273
1, 57.16227, 1.16505, 13.058491, -5.247024, -5.273, 3.752976
2, 57.16227, 5.808643, 17.449714, -5.209486, -5.252273, 12.782362
3, 66.16227, 12.078489, 20.230245, 3.752976, -5.252273, 21.752976
4, 66.16227, 21.452403, 22.000626, 21.677407, 3.752976, 33.063207
5, 66.16227, 29.475155, 22.730802, 21.752976, 12.786449, 57.16227
6, 75.16227, 34.053483, 23.071986, 21.752976, 12.790514, 57.16227
7, 75.16227, 37.902317, 23.093232, 57.16227, 12.790514, 57.16227
8, 75.16227, 39.367146, 23.696908, 57.16227, 19.190063, 57.194865
9, 75.16227, 45.203315, 21.344438, 57.16227, 21.752976, 57.202511
10, 75.16227, 48.51903, 22.201572, 57.194865, 21.752976, 66.16227
